hostname,cpu_id,temp_id,traffic_id,mem_id,ping_id
DC_NTT,56662,56664,56665,56663,56661
DRC_NTT,52612,52614,52615,52613,52611
DC_HSBC,56174,56176,56177,56175,56173
DRC_HSBC,56305,56307,56297,56306,56296
DC_BJBS,53046,53048,53049,53047,53055
DRC_BJBS,52218,52220,52221,52219,52439
DC_DKI,54366,54368,54369,54367,54365
DRC_DKI,55121,55123,55124,55122,55120
DC_ArthaGraha,54685,54687,54677,54686,54676
DRC_ArthaGraha,52285,52287,52289,52286,52319
DC_Raya,52960,52962,52953,52961,52952
DRC_Raya,52238,52240,52241,52239,53132
DC_Jago,54078,54080,54064,54079,54077
DRC_Jago,56101,56103,56104,56102,56100
DC_Bumiarta,53922,53924,53925,53923,53921
DRC_Bumiarta,52152,52154,52155,52153,52408
DC_Rintis,45978,45980,45983,45979,46423
DRC_Rintis,45998,46000,46003,45999,46425
DC_Neo,57144,57146,57152,57145,57143
DRC_Neo,54886,54888,54889,54887,54896
DC_Capital,55403,55405,55406,55404,55414
DRC_Capital,52882,52884,52886,52883,52885
DC_ICBC,56129,56131,56132,56130,56140
DRC_ICBC,54241,54243,54244,54242,54252
DC_CTBC,56406,56408,56399,56407,56398
DRC_CTBC,54597,54599,54604,54598,54653
DC_BTPN,56584,56586,56576,56585,58067
DRC_BTPN,55055,55057,55058,55056,55064
DC_Mayora,55567,55569,55570,55568,55565
DRC_Mayora,53013,53015,53017,53014,53016
DC_Maybank,55534,55536,55520,55535,55840
DRC_Maybank,54756,54758,54760,54757,54759
DC_Muamalat,56062,56064,56065,56063,56072
DRC_Muamalat,53838,53840,53841,53839,53846
DC_Kalsel,55892,55894,55895,55893,55891
DRC_Kalsel,54000,54002,54007,54001,54954
DC_Mayapada,55965,55967,55968,55966,55964
DRC_Mayapada,54031,54033,54034,54032,54030
DC_Seabank,56730,56732,56737,56731,56736
DRC_Seabank,56257,56259,56260,56258,56250
DC_BJJ,54703,54705,54706,54704,54713
DRC_BJJ,53611,53613,53616,53612,53624
DC_Stanchart,56816,56818,56823,56817,56822
DRC_Stanchart,55021,55023,55024,55022,55020
DC_BOA,57223,57225,57226,57224,58068
DRC_BOA,55772,55774,55775,55773,55782
DC_Aladin,56998,57000,57001,56999,56997
DRC_Aladin,56368,56370,56372,56369,56371
DC_Jambi,50824,50826,50827,50825,52420
DRC_Jambi,50842,50844,50845,50843,52423
DC_MUFG,50761,50763,51440,50762,53100
DRC_MUFG,50927,50929,50930,50928,53104
DC_BTPNS,51011,51013,51003,51012,51015
DRC_BTPNS,51064,51066,51056,51065,51068
DC_Resona,53121,53123,53113,53122,53124
DRC_Resona,50988,50990,50992,50989,51000
DC_Maluku,51130,51132,51122,51131,51134
DRC_Maluku,51156,51158,51148,51157,51160
DC_Artajasa,59131,59133,59134,59132,59130
DRC_Artajasa,51092,51094,51084,51093,51096
DC_Sulselbar,51423,51425,51426,51424,53085
DRC_Sulselbar,51431,51433,51434,51432,53096
DC_BCCB,50947,50949,50950,50948,53066
DRC_BCCB,50966,50968,50969,50967,53072
DC_Bukopin,73439,73441,73434,73440,58599
DRC_Bukopin,73314,73316,73318,73315,73325
DC_JPMorgan,50900,50902,50903,50901,53106
DRC_JPMorgan,50918,50920,50921,50919,53108
DC_ANZ,57905,57907,57897,57906,57896
DRC_ANZ,57974,57976,57977,57975,57973
DC_Dana,57390,57392,57393,57391,57389
DRC_Dana,57649,57651,57652,57650,57648
DC_Shopee,57689,57691,57692,57690,57688
DRC_Shopee,57613,57615,57616,57614,57612
DC_Mizuho,57310,57312,57313,57311,57309
DRC_Mizuho,57728,57730,57731,57729,57727
DC_Shinhan,57351,57353,57354,57352,57350
DRC_Shinhan,57427,57429,57430,57428,57426
DC_Paribas,57475,57477,57478,57476,57474
DRC_Paribas,57509,57511,57512,57510,57508
DC_Lampung,57778,57780,57781,57779,57777
DRC_Lampung,57879,57881,57882,57880,57878
DC_OK,57841,57843,57844,57842,57840
DRC_OK,58018,58020,58021,58019,58017
DC_Allo,59183,59185,59186,59184,59181
DRC_Allo,59202,59204,59218,59203,59201
DC_Deutsche,60672,60674,60662,60673,60661
DRC_Deutsche,66818,66820,61131,66819,61130
DRC_Superbank,67897,67899,67890,67898,67889
